searchedWord,pronounciations,englishDefinition,partOfSpeech,tags,seeAlso,info
2,思惑='しわく',perceptive mental disturbances,Noun,Buddhist term,,
,,,,,,
3,"思惑買='おもわくがい', 思わく買い='おもわくがい', 思惑買い='おもわくがい'","speculative buying, buying long, buying on margin",Noun,,,
,,,,,,
4,思惑違い='おもわくちがい',"miscalculation, disappointment",Noun,,,
,,,,,,
5,思惑師='おもわくし',speculator,Noun,,,
健気,,,,,,
1,健気='けなげ',"admirable, commendable, praiseworthy, laudable, brave, heroic, noble, courageous","Na-adjective, Noun",,,
修め,,,,,,
1,修める='おさめる',"to study, to complete (a course), to cultivate, to master","Ichidan verb, Transitive verb",,,
,,to order (one's life),,,,
,,to repair (a fault one has committed),,,,
核兵器,,,,,,
1,核兵器='かくへいき',nuclear weapon,Noun,,,
,,Nuclear weapon,,,,
,,,,,,
2,核兵器国='かくへいきこく',nuclear-weapon state,Noun,,非核兵器国,
,,,,,,
3,核兵器保有量='かくへいきほゆうりょう',nuclear arsenal,Noun,,,
,,,,,,
4,核兵器実験='かくへいきじっけん',nuclear test,Noun,,,
,,,,,,
5,核兵器の威嚇または使用の合法性国際司法裁判所勧告的意見='no reading provided',International Court of Justice advisory opinion on the Legality of the Threat or Use of Nuclear Weapons,Wikipedia definition,,,
,,,,,,
6,核兵器運搬手段='no reading provided',Nuclear weapons delivery,Wikipedia definition,,,
,,,,,,
7,核兵器の歴史='no reading provided',History of nuclear weapons,Wikipedia definition,,,
,,,,,,
8,核兵器禁止条約='no reading provided',Nuclear weapons convention,Wikipedia definition,,,
師匠,,,,,,
1,師匠='ししょう',"master, teacher","Noun, Suffix",,,
,,coach who owns his stable,,,,
挙手,,,,,,
1,挙手='きょしゅ',"raising one's hand, show of hands (e.g. for a vote)","Noun, Suru verb",,,
,,salute,,,,
,,,,,,
2,挙手の礼='きょしゅのれい',"hand salute, military salute","Expression, Noun",,,
くっきり,,,,,,
1,no kanji='くっきり',"distinctly (standing out), clearly, in sharp relief, boldly","Adverb, Adverb taking the 'to' particle, Suru verb",Onomatopoeic or mimetic word,,
頂戴,,,,,,
1,"頂戴='ちょうだい', 頂だい='ちょうだい'","receiving, reception, getting, being given","Noun, Suru verb",Humble (kenjougo),,
,,"eating, drinking, having",,,,
,,"please, please do for me",,,,
,,,,,,
2,頂戴物='ちょうだいもの',"present, gift",Noun,,,
積み上げた,,,,,,
1,"積上げる='つみあげる', 積み上げる='つみあげる'","to pile up, to make a heap, to lay (e.g. bricks)","Ichidan verb, Transitive verb",,,
,,"to acquire (e.g. experience), to build (a reputation)",,,,
もとい,,,,,,
1,元い='もとい',(in calisthenics) return to your original position!,,Usually written using kana alone,,
,,"er, rather",,,,
,,,,,,
2,基='もとい',"basis, foundation",Noun,Archaism,,
,,cause,,,,
,,,,,,
3,"元結い='もとゆい, もとい, もっとい', 元結='もとゆい, もとい, もっとい'",(paper) cord for tying the hair,Noun,,,
生易しい,,,,,,
1,"生やさしい='なまやさしい', 生易しい='なまやさしい'","simple, easy",I-adjective,,,
台詞,,,,,,
1,"科白='せりふ, かはく', 台詞='せりふ, だいし', no kanji='セリフ'","speech, words, one's lines, remarks",Noun,Usually written using kana alone,,
,,Dialogue in writing,,,,
,,,,,,
2,"せりふ回し='せりふまわし', 台詞回し='せりふまわし', 台詞まわし='せりふまわし', セリフ回し='セリフまわし'",theatrical elocution,Noun,,,
大抵,,,,,,
1,"大てい='たいてい', 大抵='たいてい'","mostly, ordinarily, usually, generally","Na-adjective, Adverb, Noun",Usually written using kana alone,,
,,probably,,,,
,,"most, almost all",,,,
,,ordinary,,,,
,,"proper, appropriate, moderate",,,,
表,,,,,,
1,表='おもて',surface,Noun,,,
,,face (i.e. the visible side of an object),,,,
,,"front (of a building, etc.), obverse side (i.e. ""head"") of a coin",,,,
,,"outside, exterior",,,,
,,appearance,,,,
,,public,,,,
,,"first half (of an inning), top (of an inning)",,,,
,,"cover (for tatami mats, etc.)",,,,
,,foreground,,,,
,,,,,,
2,表='ひょう',"table (e.g. Table 1), chart, list","Noun, Noun - used as a suffix",,,
,,,,,,
3,表情='ひょうじょう',"facial expression, countenance",Noun,,,
,,"look, appearance, expression (vocal, etc.)",,,,
,,Facial expression,,,,
,,,,,,
4,"上衣='うわぎ, じょうい', 表着='うわぎ', 上着='うわぎ'","coat, tunic, jacket, outer garment",Noun,,,
,,,,,,
5,表紙='ひょうし',"cover (of a book, magazine, etc.), binding",Noun,,,
,,appearing on the cover of a magazine,,,,
,,Book cover,,,,
,,,,,,
6,"表れる='あらわれる', 顕われる='あらわれる', 現れる='あらわれる', 顕れる='あらわれる', 現われる='あらわれる', 表われる='あらわれる'","to appear, to come in sight, to become visible, to come out, to embody, to materialize, to materialise","Ichidan verb, intransitive verb",,,
,,"to be expressed (e.g. emotions), to become apparent (e.g. trends, effects)",,,,
,,,,,,
7,表現='ひょうげん',"expression, presentation","Noun, Suru verb",,,
,,"representation, notation",,,,
,,,,,,
8,表面='ひょうめん',"surface, face","Noun, No-adjective",,,
,,"outside, exterior",,,,
,,"appearances, superficiality",,,,
,,,,,,
9,"現れ='あらわれ', 現われ='あらわれ', 表われ='あらわれ', 表れ='あらわれ', 顕れ='あらわれ'","embodiment, manifestation, materialization, materialisation, expression, indication",Noun,,,
,,,,,,
10,"表す='あらわす', 現わす='あらわす', 表わす='あらわす', 現す='あらわす', 顕す='あらわす'","to represent, to signify, to stand for","Godan verb with su ending, Transitive verb",,,
,,"to reveal, to show, to display",,,,
,,to express,,,,
,,to make widely known,,,,
不自然,,,,,,
1,不自然='ふしぜん',"unnatural, artificial, affected, strained","Na-adjective, Noun",,,
文脈,,,,,,
1,文脈='ぶんみゃく',context,Noun,linguistics terminology,,
,,,,,,
2,文脈自由言語='ぶんみゃくじゆうげんご',context-free language,Noun,,,
,,Context-free language,,,,
,,,,,,
3,文脈自由文法='ぶんみゃくじゆうぶんぽう',context-free grammar,Noun,Computer terminology,,
,,Context-free grammar,,,,
,,,,,,
4,文脈依存文法='ぶんみゃくいぞんぶんぽう',context-sensitive grammar,Noun,Computer terminology,,
,,Context-sensitive grammar,,,,
,,,,,,
5,文脈に敏感='ぶんみゃくにびんかん',context sensitive,Noun,Computer terminology,,
,,,,,,
6,文脈上の必す字句='ぶんみゃくじょうのひっすじく',contextually required token,Noun,Computer terminology,,
,,,,,,
7,文脈依存='ぶんみゃくいぞん',context sensitivity,"Noun, No-adjective",Computer terminology,,
,,,,,,
8,文脈列='ぶんみゃくれつ',contextual sequence,Noun,Computer terminology,,
,,,,,,
9,文脈上の必す要素='ぶんみゃくじょうのひっすようそ',contextually required element,Noun,Computer terminology,,
,,,,,,
10,文脈上の選択字句='ぶんみゃくじょうのせんたくじく',contextually optional token,Noun,Computer terminology,,
到底,,,,,,
1,到底='とうてい',"by no means, not at all, (cannot) possibly, utterly, absolutely",Adverb,Usually written using kana alone,,
膨大,,,,,,
1,"尨大='ぼうだい', 厖大='ぼうだい', 膨大='ぼうだい'","huge, vast, enormous, colossal, extensive, large",Na-adjective,,,
,,"swelling, expansion",,,,
,,,,,,
2,膨大部='ぼうだいぶ',ampulla,"Noun, No-adjective",,,
五里霧中,,,,,,
1,"五里霧中='ごりむちゅう', 五里夢中='ごりむちゅう'","totally at a loss, lose one's bearings, in a maze, in a fog, all at sea, up in the air, mystified, bewildered","No-adjective, Noun",Yojijukugo (four character compound),,
降伏,,,,,,
1,"降伏='こうふく', 降服='こうふく'","capitulation, surrender, submission","Noun, Suru verb",,,
,,yield,,,,
,,Surrender (military),,,,
,,,,,,
2,降伏 (物理)='no reading provided',Yield (engineering),Wikipedia definition,,,
,,,,,,
3,降伏強度='こうふくきょうど',"yield strength, yield stress",Noun,,,
,,,,,,
4,降伏文書='no reading provided',Japanese Instrument of Surrender,Wikipedia definition,,,
,,,,,,
5,降伏の儀式='no reading provided',Footfall,Wikipedia definition,,,
標敵,,,,,,
1,"印='しるし', 標='しるし', 証し='しるし', 証='しるし'","mark, sign",Noun,,,
,,"symbol, emblem",,,,
,,"badge, crest, flag",,,,
,,"evidence, proof",,,,
,,"token (of gratitude, affection, etc.)",,,,
,,,,,,
2,"注連='しめ', 七五三='しめ', 標='しめ'",rope used to cordon off consecrated areas or as a talisman against evil,Noun,"Shinto term, Abbreviation",注連縄,
,,"cordoning off, cordoning-off sign",,,,
,,,,,,
3,"標='しるべ', 導='しるべ'","guidance, guide",Noun,,,
,,,,,,
4,標識='ひょうしき',"sign, mark, flag",Noun,,,
,,,,,,
5,標準='ひょうじゅん',"standard, level, norm",Noun,,,
,,,,,,
6,標本='ひょうほん',"example, specimen, sample",Noun,,,
,,,,,,
7,"表示='ひょうじ', 標示='ひょうじ'","indication, expression, showing, manifestation, demonstration","Noun, Suru verb",,,
,,"display, displaying",,,,
,,representation,,,,
,,,,,,
8,標的='ひょうてき',target,Noun,,,
,,,,,,
9,標高='ひょうこう',"elevation, height above sea level",Noun,,,
,,,,,,
10,標語='ひょうご',"motto, slogan, catchword",Noun,,,
,,Motto,,,,
,,,,,,
11,標準語='ひょうじゅんご',"standard language (of a country), standard Japanese",Noun,,共通語,
,,Standard language,,,,
,,,,,,
12,"表題='ひょうだい', 標題='ひょうだい'","title, index, heading, headline, caption",Noun,,,
,,,,,,
13,"表札='ひょうさつ', 標札='ひょうさつ'","nameplate, doorplate",Noun,,,
,,,,,,
14,標題='ひょうだい',"title, heading, headline, caption",Noun,,題名,
,,,,,,
15,標章='ひょうしょう',"emblem, ensign, mark",Noun,,,
,,,,,,
16,標榜='ひょうぼう',"standing for, advocating, championing, professing (to be)","Noun, Suru verb",,,
,,,,,,
17,標本化='ひょうほんか',sampling (e.g. in signal processing),"Noun, Suru verb",,,
,,Sampling (signal processing),,,,
,,,,,,
18,標準誤差='ひょうじゅんごさ',"standard error, SE",Noun,,,
,,Standard error,,,,
,,,,,,
19,標本化定理='ひょうほんかていり',sampling theorem,Noun,Computer terminology,,
,,Nyquist–Shannon sampling theorem,,,,
,,,,,,
20,標準電波='ひょうじゅんでんぱ',standard time and frequency signal,Noun,,,
,,Speaking clock,,,,
寝転んだ,,,,,,
1,"寝ころぶ='ねころぶ', 寝転ぶ='ねころぶ'","to lie down, to throw oneself down","Godan verb with bu ending, intransitive verb",,寝転がる ねころがる,
大胆,,,,,,
1,大胆='だいたん',"bold, daring, audacious","Na-adjective, Noun",,,
,,,,,,
2,大胆奔放='だいたんほんぽう',"bold and unrestrained, daring and unfettered","Noun, Na-adjective, No-adjective",Yojijukugo (four character compound),,
,,,,,,
3,大胆巧妙='だいたんこうみょう',"bold and clever, daring and ingenious, audacious and masterly","Noun, Na-adjective",Yojijukugo (four character compound),,
,,,,,,
4,大胆不敵='だいたんふてき',"audacity, daredevil (attitude)","Na-adjective, Noun",Yojijukugo (four character compound),,
,,,,,,
5,大胆至極='だいたんしごく',"the height of daring, very courageous (reckless), extremely audacious","Noun, Na-adjective",,,
,,,,,,
6,大胆にいきましょう ↑Heart&Soul↑='no reading provided',Daitan ni Ikimashō,Wikipedia definition,,,
代替,,,,,,
1,"代替='だいたい, だいがえ', 代替え='だいがえ'","substitution, alternation","Noun, Suru verb",,,
,,"alternative, substitute",,,,
,,,,,,
2,"代変わり='だいがわり', 代替わり='だいがわり', 代替='だいがわり', 代変り='だいがわり', 代替り='だいがわり'",taking over (e.g. store or family's headship),Noun,,,
,,"subrogation, substitution of one person for another (usu. a creditor)",,,,
,,,,,,
3,代替医療='だいたいいりょう',alternative medicine,Noun,,,
,,Alternative medicine,,,,
,,,,,,
4,代替効果='だいたいこうか',substitution effect,Noun,,,
,,,,,,
5,代替休日='だいたいきゅうじつ',compensatory holiday (for working on a day off),Noun,,代休 だいきゅう,
,,,,,,
6,"代替療法='だいたいりょうほう, だいがえりょうほう', 代替え療法='だいがえりょうほう'",alternative therapy,Noun,,,
,,,,,,
7,代替物='だいたいぶつ',substitute article,Noun,,,
,,,,,,
8,代替手段='だいたいしゅだん',"alternative means (alternate), alternative method",Noun,,,
,,,,,,
9,代替機='だいたいき',substitute device,Noun,,,
,,replacement aircraft,,,,
,,,,,,
10,"代替品='だいたいひん, だいがえひん', 代替え品='だいがえひん'","substitute article, back-up",Noun,,,
所為,,,,,,
1,"所為='せい, せえ'","consequence, outcome, result, blame",Noun,Usually written using kana alone,,
,,,,,,
2,所為='しょい',"act, deed, one's doing",Noun,Obscure term,仕業,
,,,,,,
3,所為にする='せいにする',"to lay the blame on, to put the fault on","Expression, Suru verb - irregular",Usually written using kana alone,,
,,,,,,
4,所為か='せいか',it may be because,Expression,Usually written using kana alone,,
厳密,,,,,,
1,厳密='げんみつ',"strict, close, precise, scrupulous",Na-adjective,,,
,,,,,,
2,"厳密にいうと='げんみつにいうと', 厳密に言うと='げんみつにいうと'",strictly speaking,Expression,,厳密に言えば,
,,,,,,
3,"厳密にいえば='げんみつにいえば', 厳密に言えば='げんみつにいえば'",strictly speaking,Expression,,厳密に言うと,
,,,,,,
4,厳密解='げんみつかい',exact solution,Noun,"Mathematics, Physics terminology",,
,,,,,,
5,厳密認証='げんみつにんしょう',strong authentication,Noun,Computer terminology,,
幻,,,,,,
1,幻='まぼろし',"phantom, vision, illusion, dream, apparition","Noun, No-adjective",,,
,,,,,,
2,幻覚='げんかく',"hallucination, illusion",Noun,,,
,,Hallucination,,,,
,,,,,,
3,幻想='げんそう',illusions,"Noun, No-adjective",,,
,,,,,,
4,幻滅='げんめつ',disillusionment,"Noun, Suru verb",,,
,,,,,,
5,幻影='げんえい',"phantom, vision, illusion","Noun, No-adjective",,,
,,,,,,
6,幻想的='げんそうてき',"fantastic, magical, wondrous, whimsical, fairytale-like, romantic",Na-adjective,,,
,,,,,,
7,幻想曲='げんそうきょく',"fantasy, fantasia",Noun,Music term,,
,,Fantasia (music),,,,
,,,,,,
8,幻惑='げんわく',"fascination, glamor, glamour, bewitching","Noun, Suru verb",,,
,,,,,,
9,幻肢='げんし',phantom limb,Noun,,,
,,Phantom limb,,,,
,,,,,,
10,幻日環='げんじつかん',parhelic circle,Noun,,,
,,Parhelic circle,,,,
いわゆる,,,,,,
1,所謂='いわゆる',"what is called, as it is called, the so-called, so to speak",Pre-noun adjectival,Usually written using kana alone,,
伊達,,,,,,
1,伊達='だて',"elegance, dandyism, sophistication, having style","Noun, Na-adjective",Usually written using kana alone,,
,,"affectation, showing off, putting on an air, appearances, doing something just for show",,,,
,,Date,,,,
,,,,,,
2,"伊達眼鏡='だてめがね', 伊達メガネ='だてメガネ'","glasses for show, fashionable eyeglasses worn for appearance's sake, glasses with no lenses or 'window glass' lenses",Noun,Yojijukugo (four character compound),,
,,,,,,
3,"伊達巻き='だてまき', 伊達巻='だてまき'",(woman's) undersash,Noun,,,
,,rolled omelette mixed with fish (paste) (omelet),,,,
,,,,,,
4,"伊達締め='だてじめ', 伊達締='だてじめ'","small, thin fabric belt worn over the kimono and under the obi in order to protect the fabric",Noun,,,
,,,,,,
5,伊達着='だてぎ',showy clothes,Noun,,,
,,,,,,
6,伊達姿='だてすがた',flashy appearance,Noun,,,
,,,,,,
7,伊達男='だておとこ',"dandy, dude",Noun,,,
,,,,,,
8,伊達衆='だてしゅう',"dandy, gallant, chivalrous person",Noun,,,
,,,,,,
9,伊達者='だてしゃ',"dandy, dude",Noun,,,
,,,,,,
10,伊達女='だておんな',flapper,Noun,,,
試行錯誤,,,,,,
1,試行錯誤='しこうさくご',trial and error,"Noun, Suru verb",Yojijukugo (four character compound),,
傷ついて,,,,,,
1,"傷付く='きずつく', 傷つく='きずつく', 疵つく='きずつく', 疵付く='きずつく'","to be wounded, to get injured","Godan verb with ku ending, intransitive verb",,,
,,to get hurt feelings,,,,
,,"to get damaged, to get chipped, to get scratched",,,,
満載,,,,,,
1,満載='まんさい',"fully loaded, full load, loaded condition","Noun, Suru verb",,,
ほとんど,,,,,,
1,"幾ど='ほとんど', 殆んど='ほとんど', 殆ど='ほとんど'","mostly, nearly, practically, well-nigh, almost invariably, all but, just about, almost","Adverbial noun, Temporal noun",Usually written using kana alone,,
,,,,,,
2,ほとんど (数学)='no reading provided',Almost,Wikipedia definition,,,
,,,,,,
3,殆どない='ほとんどない',"almost never, few and far between, little or nothing, hardly any, hardly anything at all, very little",Expression,Usually written using kana alone,,
,,,,,,
4,"殆どの人='ほとんどのひと', ほとんどの人='ほとんどのひと'",almost everyone,Expression,,,
,,,,,,
5,ほとんど整数='no reading provided',Almost integer,Wikipedia definition,,,
,,,,,,
6,ほとんど自由な電子='no reading provided',Nearly-free electron model,Wikipedia definition,,,
看破,,,,,,
1,看破='かんぱ',"seeing through (e.g. someone's lies), reading (e.g. thoughts), penetrating, detecting","Noun, Suru verb",,,
,,,,,,
2,"見破る='みやぶる', 看破る='みやぶる'","to see through (a plot, lie, etc.), to penetrate into, to discover, to find out","Godan verb with ru ending, Transitive verb",,,
冷静,,,,,,
1,冷静='れいせい',"calmness, composure, coolness, serenity, presence of mind","Noun, Na-adjective",,,
,,,,,,
2,"冷静になる='れいせいになる', 冷静に成る='れいせいになる'","to collect oneself, to chill out, to cool off, to recover oneself","Expression, Godan verb with ru ending",,,
,,,,,,
3,冷静沈着='れいせいちんちゃく',"calm, cool, and collected, level and calm","Noun, Na-adjective",Yojijukugo (four character compound),,
,,,,,,
4,冷静と情熱のあいだ='no reading provided',Calmi Cuori Appassionati,Wikipedia definition,,,
過大,,,,,,
1,過大='かだい',"excessive, too much, unreasonable","Na-adjective, Noun, No-adjective",,,
,,,,,,
2,過大視='かだいし',overestimation,"Noun, Suru verb",,,
,,,,,,
3,過大評価='かだいひょうか',"overestimation, overvaluing","Noun, Suru verb, No-adjective",Yojijukugo (four character compound),,
歯切れ,,,,,,
1,歯切れ='はぎれ',feel when biting,Noun,,,
,,manner of enunciation,,,,
,,,,,,
2,"歯切れよい='はぎれよい', 歯切れ良い='はぎれよい'","crisp, staccato, piquant, clear","Expression, I-adjective",,,
,,,,,,
3,歯切れが悪い='はぎれがわるい',"inarticulate, not making oneself quite clear, slurring one's words, evasive","Expression, I-adjective",,,
,,,,,,
4,"歯切れの良い='はぎれのよい', 歯切れのよい='はぎれのよい'","crisp, staccato, piquant, clear","Expression, I-adjective",,,
,,,,,,
5,歯切れの悪い='はぎれのわるい',"inarticulate, not making oneself quite clear, slurring one's words, evasive","Expression, I-adjective",,,
,,,,,,
6,歯切れいい='はぎれいい',"crisp, staccato, piquant, clear","Expression, I-adjective (yoi/ii class)",,歯切れ良い,
,,,,,,
7,歯切れのいい='はぎれのいい',"crisp, staccato, piquant, clear","Expression, I-adjective (yoi/ii class)",,,
同意,,,,,,
1,同意='どうい',"agreement, consent, same opinion, approval","Noun, Suru verb, No-adjective",,,
,,same meaning,,,,
,,,,,,
2,同意見='どういけん',the same opinion,Noun,,,
,,,,,,
3,同意語='どういご',synonym,Noun,,,
,,,,,,
4,同意味='どういみ',same meaning,"Noun, No-adjective",,,
,,,,,,
5,同意義='どういぎ',the same meaning,Noun,,,
,,,,,,
6,同意書='どういしょ',"letter of consent, letter of intent, agreement document",Noun,,,
おおらか,,,,,,
1,"多らか='おおらか', 大らか='おおらか'","placid, composed, serene, calm",Na-adjective,Usually written using kana alone,,
,,"big hearted, broad-minded, magnanimous",,,,
,,great quantity (of something),,,,
洞察,,,,,,
1,洞察='どうさつ',"discernment, insight","Noun, Suru verb",,,
,,,,,,
2,洞察力='どうさつりょく',"insight, discernment, perception, perspicacity, acumen",Noun,,,
経過,,,,,,
1,経過='けいか',"passage, expiration, progress, transition","Noun, Suru verb",,,
,,,,,,
2,経過措置='けいかそち',transitional measures,Noun,,,
,,,,,,
3,経過観察='けいかかんさつ',"(medical) follow-up, observation",Noun,,,
,,,,,,
4,経過計時機構='けいかけいじきこう',elapsed timer,Noun,Computer terminology,,
,,,,,,
5,経過時間='けいかじかん',elapsed time,Noun,Computer terminology,,
公平,,,,,,
1,公平='こうへい',"fairness, impartiality, justice, objectivity","Noun, Na-adjective",,,
,,Impartiality,,,,
,,,,,,
2,"金平='きんぴら', 公平='きんぴら'",chopped burdock root (and sometimes carrot) cooked in sugar and soy sauce,Noun,"Abbreviation, Usually written using kana alone",金平牛蒡,
,,Kinpira,,,,
,,,,,,
3,公平政策='こうへいせいさく',fair deal,Noun,,,
,,,,,,
4,公平無私='こうへいむし',"impartiality, fair play","Na-adjective, Noun, No-adjective",Yojijukugo (four character compound),,
,,,,,,
5,公平交易委員会='no reading provided',Fair Trade Commission (Republic of China),Wikipedia definition,,,
壮観,,,,,,
1,壮観='そうかん',"spectacle, magnificent view","Na-adjective, Noun",,,
まごうことなき,,,,,,
1,"紛う事無き='まごうことなき, まがうことなき', 紛う事なき='まごうことなき, まがうことなき', 紛うこと無き='まごうことなき, まがうことなき', 紛うことなき='まごうことなき, まがうことなき'","undoubted, unmistakable, definite",Noun or verb acting prenominally,Usually written using kana alone,紛う方なく まがうかたなく,
束縛,,,,,,
1,束縛='そくばく',"restraint, restriction, fetters, yoke, shackles","Noun, Suru verb",,,
,,"binding, confinement with rope",,,,
,,,,,,
2,束縛変項='そくばくへんこう',bound variable,Noun,,,
,,,,,,
3,束縛理論='そくばくりろん',binding theory,Noun,,,
,,,,,,
4,束縛継承原理='そくばくけいしょうげんり',"binding inheritance principle, BIP",Noun,,,
,,,,,,
5,束縛電子='そくばくでんし',bound electron,Noun,,,
,,,,,,
6,束縛状態='no reading provided',Bound state,Wikipedia definition,,,
一際,,,,,,
1,"一際='ひときわ', 一きわ='ひときわ'","conspicuously, noticeably, remarkably, especially, particularly",Adverb,Usually written using kana alone,,
あからさま,,,,,,
1,"明白='あからさま', 偸閑='あからさま', 白地='あからさま'","plain, frank, candid, open, direct, straightforward, unabashed, blatant, flagrant","Na-adjective, No-adjective",Usually written using kana alone,,
ゆえに,,,,,,
1,故に='ゆえに',"therefore, consequently",Conjunction,Usually written using kana alone,,
忘却,,,,,,
1,忘却='ぼうきゃく',"lapse of memory, forgetting completely, (consigning to) oblivion","Noun, Suru verb",,,
,,Forgetting,,,,
,,,,,,
2,忘却の旋律='no reading provided',Melody of Oblivion,Wikipedia definition,,,
,,,,,,
3,忘却曲線='no reading provided',Forgetting curve,Wikipedia definition,,,
遣る,,,,,,
1,"遣る='やる', 行る='やる'","to do, to undertake, to perform, to play (a game), to study","Godan verb with ru ending, Transitive verb","Usually written using kana alone, Colloquialism",為る する,
,,"to send, to dispatch, to despatch",,,,
,,"to put, to move, to turn (one's head, glance, etc.)",,,,
,,"to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer",,,,
,,to make (a vehicle) go faster,,,,
,,"to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise",,,,
,,"to have (food, drink, etc.), to eat, to drink, to smoke",,,,
,,"to hold (a performance), to perform, to show",,,,
,,to ease (one's mind),,,,
,,"to harm, to injure, to kill",,,,
,,to have sex with,,,,
,,"to live, to get by, to get along",,,,
,,to do ... completely,,,,
,,"to do ... broadly, to do ... to a great distance",,,,
,,"to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)",,,,
,,to make active efforts to ...,,,,
,,,,,,
2,"遣る気='やるき', やる気='やるき'","willingness (e.g. to do something), eagerness, motivation, inspiration, determination, high aspirations",Noun,,,
,,,,,,
3,"遣るかた無い='やるかたない', 遣るかたない='やるかたない', 遣る方ない='やるかたない', やる方無い='やるかたない', 遣る方無い='やるかたない', やる方ない='やるかたない', やるかた無い='やるかたない'","unable to clear away one's ill feeling, not able to do anything (about...)","Expression, I-adjective",Usually written using kana alone,,
,,,,,,
4,"やる瀬ない='やるせない', 遣る瀬無い='やるせない', 遣る瀬ない='やるせない'","helpless, cheerless, miserable, disconsolate, dreary, downhearted",I-adjective,Usually written using kana alone,,
,,,,,,
5,"やる気十分='やるきじゅうぶん', 遣る気十分='やるきじゅうぶん', やる気充分='やるきじゅうぶん', 遣る気充分='やるきじゅうぶん'",sufficiently motivated (to do something),Expression,,,
隙,,,,,,
1,"隙='すき, げき, ひま, すきけ', 透き='すき'","gap, space",Noun,,,
,,"break, interlude, interval",,,,
,,"chink (in one's armor, armour), chance, opportunity, weak spot",,,,
,,breach (of a relationship between people),,,,
,,,,,,
2,"すき間='すきま', 隙き間='すきま', 透き間='すきま', 透間='すきま', 隙間='すきま'","crevice, crack, gap, opening, clearance",Noun,,,
,,"spare moment, interval, break, pause, spare time",,,,
,,"chink (in one's armor, armour), unpreparedness, carelessness",,,,
,,Sukima,,,,
,,,,,,
3,"透かさず='すかさず', 隙かさず='すかさず'",without a moment's delay,Adverb,Usually written using kana alone,,
,,,,,,
4,隙間の神='すきまのかみ',God of the gaps,"Expression, Noun",,,
,,God of the gaps,,,,
,,,,,,
5,"ひま人='ひまじん', 隙人='ひまじん', 閑人='ひまじん, かんじん', 暇人='ひまじん'","person with a lot of free time on their hands, person of leisure, idler",Noun,,,
,,,,,,
6,"no kanji='スキあり', 隙あり='すきあり', 隙アリ='すきアリ'",chink in the armor (armour),"Expression, Noun",Colloquialism,,
,,,,,,
7,"すき間市場='すきましじょう', 隙間市場='すきましじょう'",niche market,Noun,,,
,,,,,,
8,"透き目='すきめ', 隙目='すきめ', 透目='すきめ'","gap, opening, crevice, crack",Noun,Obscure term,隙間,
,,,,,,
9,隙も与えず='すきもあたえず',"before one could, in no time at all, without a gap","Expression, Adverb",,,
,,,,,,
10,"透いた枝='すいたえだ', 隙いた枝='すいたえだ'",thinned branches,Noun,,,
卓越,,,,,,
1,卓越='たくえつ',"preeminence, excellence, superiority, transcendence","Noun, Suru verb",,,
,,,,,,
2,卓越風='たくえつふう',prevailing wind,Noun,,,
,,Prevailing winds,,,,
行使,,,,,,
1,行使='こうし',"use, exercise (of one's right, authority, power, etc.)","Noun, Suru verb",,,
,,,,,,
2,行使価格='こうしかかく',"exercise price, strike price, practice price",Noun,,,
ハシャ,,,,,,
1,覇者='はしゃ',"supreme ruler, conqueror",Noun,,,
,,"champion, winner, titleholder",,,,
,,,,,,
2,燥ぐ='はしゃぐ',"to make merry, to frolic, to be in high spirits","Godan verb with gu ending, intransitive verb",Usually written using kana alone,,
改竄,,,,,,
1,"改ざん='かいざん', 改竄='かいざん'","alteration, falsification, faking","Noun, Suru verb",,,
,,Falsification,,,,
強固,,,,,,
1,"強固='きょうこ', 鞏固='きょうこ'","firm, strong, solid, stable",Na-adjective,,,
変貌,,,,,,
1,"変ぼう='へんぼう', 変貌='へんぼう'","transfiguration, transformation, change of appearance","Noun, Suru verb",,,
,,,,,,
2,変貌 パート1='no reading provided',Becoming (Buffy the Vampire Slayer),Wikipedia definition,,,
即物的,,,,,,
1,即物的='そくぶつてき',"practical, matter-of-fact, realistic, utilitarian, pragmatic","Na-adjective, Noun",,,
岩,,,,,,
1,"磐='いわ', 巖='いわ', 岩='いわ', 巌='いわ'","rock, boulder",Noun,,,
,,"crag, cliff",,,,
,,anchor,,,,
,,,,,,
2,岩石='がんせき',rock,Noun,,,
,,Rock (geology),,,,
,,,,,,
3,"頑丈='がんじょう', 岩乗='がんじょう'","solid, firm, stout, burly, strong, sturdy","Na-adjective, Noun",,,
,,,,,,
4,岩戸='いわと',rock door (to a cave),Noun,,,
,,,,,,
5,岩場='いわば',"rocky area, rockface, rock wall",Noun,,,
,,,,,,
6,岩登り='いわのぼり',rock climbing,Noun,,,
,,,,,,
7,岩穴='いわあな',"cavern, grotto",Noun,,,
,,,,,,
8,"岩棚='いわたな, いわだな'",ledge,Noun,,,
,,,,,,
9,"岩塩='がんえん, いわしお'","halite, rock salt",Noun,,,
,,Halite,,,,
,,,,,,
10,岩盤='がんばん',bedrock,Noun,,,
災厄,,,,,,
1,災厄='さいやく',"calamity, disaster, accident",Noun,,,
値打ち,,,,,,
